Index	Distance[?m]	Time[s]	Velocity[?m/s]
1.000000	1.105077	1.600000	0.690673
2.000000	0.894586	1.100000	0.813260
3.000000	1.526058	1.700000	0.897681
4.000000	0.684095	0.700000	0.977279
5.000000	0.999831	1.400000	0.714165
6.000000	0.578850	0.600000	0.964750
7.000000	2.605647	4.900000	0.531765
8.000000	1.131746	0.700000	1.616779
9.000000	0.842229	0.900000	0.935810
10.000000	0.894869	1.000000	0.894869
11.000000	3.015656	4.100000	0.735526
12.000000	0.740687	1.000000	0.740687
13.000000	0.687781	0.900000	0.764201
14.000000	1.131746	1.300000	0.870573
15.000000	2.368022	3.200000	0.740007
16.000000	1.018175	1.400000	0.740399
17.000000	1.158065	1.100000	1.052787
18.000000	0.631472	0.500000	1.262945
19.000000	2.025974	2.800000	0.723562
20.000000	0.789341	0.900000	0.877045
21.000000	0.841963	1.000000	0.841963
22.000000	0.631472	0.800000	0.789341
23.000000	0.710406	0.800000	0.888008
24.000000	1.296203	1.600000	0.810127
25.000000	1.058125	1.100000	0.961932
26.000000	0.740687	0.700000	1.058125
27.000000	1.055720	2.300000	0.459009
28.000000	1.609973	2.000000	0.804986
29.000000	1.134899	1.500000	0.756599
30.000000	1.240471	1.600000	0.775294
31.000000	1.504401	1.600000	0.940251
32.000000	0.791790	0.700000	1.131129
33.000000	0.870969	0.800000	1.088711
34.000000	1.028748	1.100000	0.935226
35.000000	1.243297	1.500000	0.828864
36.000000	1.084578	1.200000	0.903815
37.000000	0.870969	0.900000	0.967743
38.000000	0.686218	0.800000	0.857772
39.000000	0.686218	0.700000	0.980311
40.000000	1.341879	1.500000	0.894586
41.000000	1.026143	1.000000	1.026143
42.000000	0.815652	0.900000	0.906280
43.000000	1.157699	0.800000	1.447124
44.000000	0.633432	0.900000	0.703813
45.000000	1.055720	1.500000	0.703813
46.000000	0.633432	1.200000	0.527860
47.000000	0.369502	0.700000	0.527860
48.000000	0.870969	1.000000	0.870969
49.000000	0.686218	0.700000	0.980311
50.000000	0.791790	0.900000	0.879767
51.000000	0.791790	0.700000	1.131129
52.000000	1.772359	2.200000	0.805618
53.000000	0.661328	1.000000	0.661328
54.000000	0.793594	1.100000	0.721449
55.000000	1.058125	1.300000	0.813942
56.000000	0.687781	0.700000	0.982544
57.000000	1.134899	1.100000	1.031726
58.000000	0.950148	2.000000	0.475074
59.000000	1.289256	2.300000	0.560546
60.000000	0.789341	0.700000	1.127629
61.000000	0.999831	2.900000	0.344769
62.000000	0.710406	0.800000	0.888008
63.000000	0.789341	1.000000	0.789341
64.000000	1.894417	2.100000	0.902103
65.000000	0.815652	1.100000	0.741502
66.000000	0.420982	0.600000	0.701636
