Index	Distance[?m]	Time[s]	Velocity[?m/s]
1.000000	1.901421	2.400000	0.792259
2.000000	1.452474	1.700000	0.854397
3.000000	0.924302	1.000000	0.924302
4.000000	1.109162	1.900000	0.583770
5.000000	1.214797	1.500000	0.809864
6.000000	0.526188	0.900000	0.584653
7.000000	0.736663	1.600000	0.460414
8.000000	0.973447	1.000000	0.973447
9.000000	0.710353	1.500000	0.473569
10.000000	0.920828	1.300000	0.708329
11.000000	0.684044	1.000000	0.684044
12.000000	0.526188	0.400000	1.315469
13.000000	0.499878	0.800000	0.624848
14.000000	1.454570	1.900000	0.765563
15.000000	0.290914	0.500000	0.581828
16.000000	0.846295	0.900000	0.940328
17.000000	0.528934	0.600000	0.881557
18.000000	0.528934	0.800000	0.661168
19.000000	0.741297	1.200000	0.617747
20.000000	0.741297	0.800000	0.926621
21.000000	0.608922	0.500000	1.217845
22.000000	1.236541	2.200000	0.562064
23.000000	0.526188	0.900000	0.584653
24.000000	0.684044	0.400000	1.710110
25.000000	1.720868	2.400000	0.717028
26.000000	1.270795	2.100000	0.605140
27.000000	0.555973	0.600000	0.926621
28.000000	0.555973	0.900000	0.617747
29.000000	0.736663	0.700000	1.052375
30.000000	1.236541	1.700000	0.727377
31.000000	1.552253	2.400000	0.646772
32.000000	0.473569	0.800000	0.591961
33.000000	0.552497	0.600000	0.920828
34.000000	0.552497	0.600000	0.920828
35.000000	1.507198	2.000000	0.753599
36.000000	0.555283	0.500000	1.110567
37.000000	1.004799	0.900000	1.116443
38.000000	0.872588	1.200000	0.727157
39.000000	1.216335	1.600000	0.760209
40.000000	0.634610	0.900000	0.705122
41.000000	1.348545	1.000000	1.348545
42.000000	0.713936	1.200000	0.594946
43.000000	0.555283	0.800000	0.694104
44.000000	0.766820	1.500000	0.511213
45.000000	1.009734	1.200000	0.841445
46.000000	0.504867	2.800000	0.180310
47.000000	0.504867	0.900000	0.560963
48.000000	0.850302	0.700000	1.214717
49.000000	1.242996	1.700000	0.731174
50.000000	0.343807	0.500000	0.687615
51.000000	0.872742	0.800000	1.090927
52.000000	0.502488	0.800000	0.628110
53.000000	0.687615	0.800000	0.859518
54.000000	2.391474	3.500000	0.683278
55.000000	0.664298	0.800000	0.830373
56.000000	0.797158	1.200000	0.664298
57.000000	2.577478	3.500000	0.736422
58.000000	0.797158	1.200000	0.664298
59.000000	0.425151	0.500000	0.850302
60.000000	0.930018	0.500000	1.860035
61.000000	0.847196	1.100000	0.770179
62.000000	1.032521	1.400000	0.737515
63.000000	1.058995	0.900000	1.176662
64.000000	0.794247	1.400000	0.567319
65.000000	0.953096	1.300000	0.733151
66.000000	0.900146	1.200000	0.750122
67.000000	0.741297	1.200000	0.617747
68.000000	1.058995	1.000000	1.058995
69.000000	0.450073	0.600000	0.750122
70.000000	0.766820	0.800000	0.958525
71.000000	0.766820	0.500000	1.533640
72.000000	0.899030	1.300000	0.691562
73.000000	1.454314	1.700000	0.855479
74.000000	0.608168	0.800000	0.760209
75.000000	0.528841	0.900000	0.587601
76.000000	0.634610	0.500000	1.269219
77.000000	1.004799	1.600000	0.627999
78.000000	0.978356	1.200000	0.815297
79.000000	1.295661	1.500000	0.863774
80.000000	0.899030	0.900000	0.998922
81.000000	0.713936	0.700000	1.019908
82.000000	0.052884	1.100000	0.048076
83.000000	0.899030	0.900000	0.998922
84.000000	0.608168	0.700000	0.868811
85.000000	0.740378	0.700000	1.057683
86.000000	0.608168	0.600000	1.013613
87.000000	0.661052	0.700000	0.944359
88.000000	0.661052	0.600000	1.101753
89.000000	1.057683	0.700000	1.510975
90.000000	1.481016	2.000000	0.740508
91.000000	0.978529	2.100000	0.465966
92.000000	0.317361	1.000000	0.317361
93.000000	0.634721	0.800000	0.793402
94.000000	0.872742	1.300000	0.671340
95.000000	0.423148	0.900000	0.470164
96.000000	0.713033	1.100000	0.648212
97.000000	1.131303	1.600000	0.707065
98.000000	0.605116	0.600000	1.008526
99.000000	2.191916	2.600000	0.843044
100.000000	0.343312	1.000000	0.343312
101.000000	1.161979	1.300000	0.893830
102.000000	0.528172	0.800000	0.660216
103.000000	1.188388	0.900000	1.320431
104.000000	1.901421	2.700000	0.704230
105.000000	1.452474	2.000000	0.726237
106.000000	0.660216	0.900000	0.733573
107.000000	0.741297	1.000000	0.741297
